Correlation mean	Correlation std. dev.	Gene ID	Gene systematic name	Gene common name
0.1258	0.0239	2092	YDL213C	NOP6
0.1257	0.0375	1862	YER056C-A	RPL34A
0.1257	0.0326	587	YCR030C	SYP1
0.1254	0.0250	2725	YGL043W	DST1
0.1252	0.0269	4477	YMR176W	ECM5
0.1251	0.0339	350	YBR156C	SLI15
0.1249	0.0355	1401	YKL003C	MRP17
0.1249	0.0327	1644	YKR024C	DBP7
0.1245	0.0252	904	YER177W	BMH1
0.1244	0.0334	958	YHL041W	YHL041W
0.1242	0.0245	2285	YDR159W	SAC3
0.1240	0.0261	4192	YML032C	RAD52
0.1238	0.0301	1532	YKL134C	OCT1
0.1235	0.0280	4439	YMR142C	RPL13B
0.1234	0.0275	2614	YDR488C	PAC11
0.1232	0.0218	2621	YDR495C	VPS3
0.1231	0.0409	5820	YPL214C	THI6
0.1231	0.0271	1787	YFL007W	BLM10
0.1229	0.0386	805	YER074W	RPS24A
0.1228	0.0251	2567	YDR440W	DOT1
0.1228	0.0272	144	YBL056W	PTC3
0.1228	0.0337	362	YBR168W	PEX32
0.1227	0.0333	3977	YLR287C-A	RPS30A
0.1227	0.0370	2395	YDR268W	MSW1
0.1227	0.0277	2475	YDR348C	PAL1
0.1226	0.0337	3935	YLR246W	ERF2
0.1226	0.0249	5207	YOL159C	CSS3
0.1225	0.0317	697	YEL042W	GDA1
0.1224	0.0319	2666	YDR540C	IRC4
0.1224	0.0268	5944	YPR057W	BRR1
0.1222	0.0318	1031	YHR064C	SSZ1
0.1221	0.0312	978	YHR011W	DIA4
0.1219	0.0283	4246	YML088W	UFO1
0.1218	0.0343	4569	YMR267W	PPA2
0.1217	0.0328	244	YBR048W	RPS11B
0.1216	0.0277	2751	YGL070C	RPB9
0.1216	0.0314	3069	YGR124W	ASN2
0.1215	0.0333	2061	YDL182W	LYS20
0.1215	0.0342	1090	YHR123W	EPT1
0.1214	0.0310	1077	YHR110W	ERP5
0.1210	0.0312	3611	YJR149W	YJR149W
0.1210	0.0232	4272	YML111W	BUL2
0.1208	0.0248	5706	YPL100W	ATG21
0.1207	0.0245	143	YBL055C	YBL055C
0.1206	0.0228	699	YEL044W	IES6
0.1206	0.0370	2545	YDR418W	RPL12B
0.1206	0.0334	781	YER050C	RSM18
0.1203	0.0287	240	YBR044C	TCM62
0.1201	0.0338	5296	YOR083W	WHI5
0.1200	0.0362	3646	YLL024C	SSA2
0.1199	0.0365	3063	YGR118W	RPS23A
0.1198	0.0272	3274	YJL030W	MAD2
0.1196	0.0321	2266	YDR140W	MTQ2
0.1192	0.0283	5423	YOR211C	MGM1
0.1191	0.0227	1885	YDL006W	PTC1
0.1190	0.0354	2527	YDR400W	URH1
0.1190	0.0329	3532	YJR070C	LIA1
0.1189	0.0241	5637	YPL031C	PHO85
0.1186	0.0243	4108	YLR418C	CDC73
