Correlation mean	Correlation std. dev.	Gene ID	Gene systematic name	Gene common name
0.0722	0.0323	500	YCL005W	LDB16
0.0720	0.0268	4399	YMR104C	YPK2
0.0718	0.0313	912	YER185W	PUG1
0.0717	0.0294	2628	YDR502C	SAM2
0.0716	0.0313	3980	YLR290C	COQ11
0.0716	0.0310	1858	YER087C-B	SBH1
0.0716	0.0325	1582	YKL185W	ASH1
0.0715	0.0308	4420	YMR124W	EPO1
0.0715	0.0307	1444	YKL046C	DCW1
0.0714	0.0319	5508	YOR297C	TIM18
0.0714	0.0324	2461	YDR334W	SWR1
0.0714	0.0320	3826	YLR137W	RKM5
0.0714	0.0291	5002	YNR030W	ALG12
0.0712	0.0320	3399	YJL158C	CIS3
0.0710	0.0332	4690	YNL056W	OCA2
0.0710	0.0297	4445	YMR148W	LDO16
0.0709	0.0331	4566	YMR264W	CUE1
0.0709	0.0314	2705	YGL023C	PIB2
0.0708	0.0303	1556	YKL159C	RCN1
0.0706	0.0352	732	YER001W	MNN1
0.0705	0.0292	5306	YOR094W	ARF3
0.0704	0.0304	4601	YMR297W	PRC1
0.0704	0.0322	4719	YNL086W	SNN1
0.0703	0.0279	1004	YHR037W	PUT2
0.0703	0.0310	5210	YOL162W	YOL162W
0.0702	0.0307	5156	YOL107W	YOL107W
0.0702	0.0334	4898	YNL265C	IST1
0.0701	0.0320	3459	YJL218W	YJL218W
0.0701	0.0257	2893	YGL212W	VAM7
0.0699	0.0336	593	YCR036W	RBK1
0.0698	0.0347	4181	YML021C	UNG1
0.0698	0.0333	3840	YLR151C	PCD1
0.0696	0.0285	4834	YNL201C	PSY2
0.0696	0.0329	5563	YOR351C	MEK1
0.0695	0.0264	4869	YNL236W	SIN4
0.0695	0.0269	369	YBR175W	SWD3
0.0694	0.0301	3403	YJL162C	JJJ2
0.0694	0.0338	238	YBR042C	CST26
0.0694	0.0303	350	YBR156C	SLI15
0.0693	0.0304	142	YBL054W	TOD6
0.0692	0.0334	2103	YDL224C	WHI4
0.0691	0.0286	5898	YPR011C	MRX21
0.0691	0.0347	6025	YPR139C	LOA1
0.0690	0.0313	1360	YIR004W	DJP1
0.0689	0.0285	4687	YNL053W	MSG5
0.0689	0.0286	4732	YNL099C	OCA1
0.0688	0.0288	3305	YJL062W	LAS21
0.0688	0.0338	583	YCR025C	YCR025C
0.0687	0.0315	4907	YNL274C	GOR1
0.0687	0.0272	3001	YGR056W	RSC1
0.0687	0.0303	4823	YNL190W	YNL190W
0.0686	0.0326	3316	YJL073W	JEM1
0.0686	0.0347	1490	YKL092C	BUD2
0.0685	0.0282	5661	YPL055C	LGE1
0.0685	0.0319	1102	YHR135C	YCK1
0.0684	0.0341	3286	YJL043W	YJL043W
0.0684	0.0333	1727	YAL065C	YAL065C
0.0683	0.0323	584	YCR026C	NPP1
0.0683	0.0350	4829	YNL196C	SLZ1
0.0683	0.0348	4340	YMR044W	IOC4
0.0683	0.0302	2225	YDR098C	GRX3
0.0682	0.0336	4987	YNR015W	SMM1
0.0681	0.0336	1746	YFL049W	SWP82
0.0680	0.0317	3703	YLR014C	PPR1
0.0680	0.0372	2071	YDL192W	ARF1
0.0679	0.0400	1801	YFR009W	GCN20
0.0678	0.0279	963	YHL046C	PAU13
0.0677	0.0278	4820	YNL187W	SWT21
0.0677	0.0301	1297	YIL112W	HOS4
0.0677	0.0332	5243	YOR029W	YOR029W
0.0677	0.0312	607	YCR050C	YCR050C
0.0677	0.0301	4150	YLR460C	YLR460C
0.0676	0.0332	2940	YGL258W	VEL1
0.0676	0.0300	5435	YOR223W	DSC3
0.0675	0.0305	3438	YJL197W	UBP12
0.0675	0.0336	761	YER030W	CHZ1
0.0673	0.0324	793	YER062C	GPP2
0.0672	0.0296	3427	YJL186W	MNN5
0.0671	0.0317	66	YAR014C	BUD14
0.0671	0.0340	4560	YMR258C	ROY1
0.0670	0.0299	3493	YJR031C	GEA1
0.0669	0.0389	1459	YKL061W	BLI1
0.0669	0.0304	6042	YPR156C	TPO3
0.0668	0.0305	2907	YGL226C-A	OST5
0.0668	0.0311	1573	YKL176C	LST4
0.0668	0.0281	3228	YGR284C	ERV29
0.0664	0.0274	265	YBR069C	TAT1
0.0662	0.0312	2930	YGL248W	PDE1
0.0662	0.0304	1193	YIL006W	YIA6
0.0662	0.0311	4044	YLR353W	BUD8
0.0662	0.0324	2917	YGL235W	YGL235W
0.0661	0.0311	4901	YNL268W	LYP1
0.0660	0.0338	5038	YNR066C	YNR066C
0.0660	0.0365	1053	YHR086W	NAM8
0.0660	0.0331	3236	YGR292W	MAL12
0.0659	0.0276	5764	YPL158C	AIM44
0.0659	0.0340	2596	YDR469W	SDC1
0.0658	0.0312	1948	YDL070W	BDF2
0.0658	0.0364	5028	YNR056C	BIO5
0.0657	0.0284	5076	YOL027C	MDM38
0.0657	0.0360	2542	YDR415C	YDR415C
0.0656	0.0318	6006	YPR120C	CLB5
0.0655	0.0296	1347	YIL162W	SUC2
0.0655	0.0373	2926	YGL244W	RTF1
0.0654	0.0331	5795	YPL189W	GUP2
0.0654	0.0353	1316	YIL131C	FKH1
0.0654	0.0325	3511	YJR049C	UTR1
0.0654	0.0359	480	YBR286W	APE3
0.0654	0.0374	2551	YDR424C	DYN2
0.0653	0.0305	5164	YOL115W	PAP2
0.0653	0.0312	3388	YJL147C	SMT1
0.0651	0.0317	523	YCL036W	GFD2
0.0651	0.0372	3100	YGR155W	CYS4
0.0650	0.0274	2115	YDL236W	PHO13
0.0649	0.0331	3223	YGR279C	SCW4
0.0649	0.0345	4274	YML113W	DAT1
0.0648	0.0291	873	YER145C	FTR1
0.0648	0.0340	893	YER166W	DNF1
0.0647	0.0355	4709	YNL076W	MKS1
0.0646	0.0291	4965	YNL332W	THI12
0.0646	0.0312	2462	YDR335W	MSN5
0.0645	0.0334	721	YEL066W	HPA3
0.0645	0.0354	1088	YHR121W	LSM12
0.0645	0.0378	4353	YMR060C	SAM37
0.0644	0.0300	1669	YKR049C	FMP46
0.0643	0.0361	5675	YPL069C	BTS1
0.0642	0.0382	5663	YPL057C	SUR1
0.0642	0.0360	3392	YJL151C	SNA3
0.0641	0.0329	2073	YDL194W	SNF3
0.0641	0.0333	2258	YDR131C	YDR131C
0.0640	0.0331	886	YER158C	YER158C
0.0640	0.0298	457	YBR263W	SHM1
0.0639	0.0299	491	YBR297W	MAL33
0.0639	0.0264	5919	YPR032W	SRO7
0.0639	0.0285	4557	YMR255W	GFD1
0.0638	0.0344	5200	YOL151W	GRE2
0.0638	0.0361	2337	YDR210W	YDR210W
0.0637	0.0304	4595	YMR292W	GOT1
0.0636	0.0323	425	YBR231C	SWC5
0.0635	0.0354	2506	YDR379W	RGA2
0.0634	0.0394	4864	YNL231C	PDR16
0.0634	0.0379	1674	YKR054C	DYN1
0.0634	0.0278	454	YBR260C	RGD1
0.0633	0.0269	1240	YIL053W	GPP1
0.0632	0.0309	1831	YFR040W	SAP155
0.0631	0.0325	5163	YOL114C	PTH4
0.0630	0.0280	951	YHL034C	SBP1
0.0630	0.0326	647	YCR099C	YCR099C
0.0630	0.0318	621	YCR068W	ATG15
0.0630	0.0311	1465	YKL067W	YNK1
0.0629	0.0335	2777	YGL096W	TOS8
0.0629	0.0393	964	YHL047C	ARN2
0.0629	0.0387	1672	YKR052C	MRS4
0.0628	0.0370	63	YAR003W	SWD1
0.0628	0.0249	5672	YPL066W	RGL1
0.0628	0.0309	2559	YDR432W	NPL3
0.0627	0.0334	2665	YDR539W	FDC1
0.0626	0.0328	2028	YDL149W	ATG9
0.0626	0.0353	4265	YML104C	MDM1
0.0626	0.0275	94	YBL006C	LDB7
0.0624	0.0364	1349	YIL164C	NIT1
0.0624	0.0318	4837	YNL204C	SPS18
0.0623	0.0343	3440	YJL199C	MBB1
0.0622	0.0346	4293	YML131W	YML131W
0.0622	0.0348	5833	YPL227C	ALG5
0.0621	0.0303	1384	YIR028W	DAL4
0.0621	0.0302	4563	YMR261C	TPS3
0.0620	0.0251	4077	YLR386W	VAC14
0.0620	0.0323	4136	YLR446W	YLR446W
0.0620	0.0316	4828	YNL195C	YNL195C
0.0619	0.0308	2935	YGL253W	HXK2
0.0618	0.0311	4949	YNL316C	PHA2
0.0618	0.0276	1838	YFR047C	BNA6
0.0617	0.0342	2946	YGR001C	EFM5
0.0617	0.0290	4126	YLR436C	ECM30
0.0616	0.0256	52	YAL056W	GPB2
0.0615	0.0329	5690	YPL084W	BRO1
0.0615	0.0307	6071	YPR185W	ATG13
0.0614	0.0314	1293	YIL108W	YIL108W
0.0614	0.0309	4402	YMR107W	SPG4
0.0614	0.0321	5826	YPL220W	RPL1A
0.0614	0.0275	1331	YIL146C	ATG32
0.0613	0.0329	4123	YLR433C	CNA1
0.0613	0.0340	3183	YGR238C	KEL2
0.0612	0.0304	2302	YDR176W	NGG1
