"ORF","SGD","ENTREZID","GENENAME","ENSEMBL"
"YHL025W","S000001017","856360","SNF6","YHL025W"
"YML118W","S000004587","854921","NGL3","YML118W"
"YPR152C","S000006356","856275","URN1","YPR152C"
"YEL049W","S000000775","856662","PAU2","YEL049W"
"YDL070W","S000002228","851488","BDF2","YDL070W"
"YLR309C","S000004300","851018","IMH1","YLR309C"
"YPR002C-A","S000007254",NA,NA,NA
"YOL052C-A","S000005413","854104","DDR2","YOL052C-A"
"YLR142W","S000004132","850833","PUT1","YLR142W"
"YNL148C","S000005092","855574","ALF1","YNL148C"
"YDR070C","S000002477","851642","FMP16","YDR070C"
"YPL149W","S000006070","855954","ATG5","YPL149W"
"YLL056C","S000003979","850670",NA,"YLL056C"
"YLR247C","S000004237","850949","IRC20","YLR247C"
"YDL223C","S000002382","851303","HBT1","YDL223C"
"YER103W","S000000905","856840","SSA4","YER103W"
"YOL132W","S000005492","853988","GAS4","YOL132W"
"YDR532C","S000002940","852145","KRE28","YDR532C"
"YBL044W","S000000140","852236",NA,"YBL044W"
"YLR365W","S000004357","851080",NA,NA
"YFL002W-A","S000002962","850548",NA,NA
"YOR289W","S000005815","854463",NA,"YOR289W"
"YMR315W-A","S000028697","1466508",NA,"YMR315W-A"
"YIL046W","S000001308","854765","MET30","YIL046W"
"YBR114W","S000000318","852411","RAD16","YBR114W"
"YOL159C","S000005519","854006","CSS3","YOL159C"
"YML054C-A","S000028573","1466497",NA,"YML054C-A"
"YOR391C","S000005918","854573","HSP33","YOR391C"
"YDR285W","S000002693","851879","ZIP1","YDR285W"
"YAL054C","S000000050","851245","ACS1","YAL054C"
"YDL011C","S000002169",NA,NA,NA
"YOR376W","S000005903","854558",NA,NA
"YKR049C","S000001757","853923","FMP46","YKR049C"
"YKR020W","S000001728","853890","VPS51","YKR020W"
"YOR214C","S000005740","854389","SPR2","YOR214C"
"YPL054W","S000005975","856053","LEE1","YPL054W"
"YGR009C","S000003241","852892","SEC9","YGR009C"
"YNL237W","S000005181","855484","YTP1","YNL237W"
"YMR039C","S000004642","855055","SUB1","YMR039C"
"YJL101C","S000003637","853344","GSH1","YJL101C"
"YLR361C-A","S000028845","1466422",NA,"YLR361C-A"
"YML087C","S000004552","854887","AIM33","YML087C"
"YGR027W-B","S000007406","852913",NA,NA
"YMR034C","S000004637","855050","RCH1","YMR034C"
"YDL159C-B","S000028612",NA,NA,NA
"YER020W","S000000822","856741","GPA2","YER020W"
"YLL062C","S000003985","850664","MHT1","YLL062C"
"YHR137W","S000001179","856539","ARO9","YHR137W"
"YML062C","S000004527","854940","MFT1","YML062C"
"YOR186C-A","S000028715",NA,NA,NA
"YNL277W","S000005221","855444","MET2","YNL277W"
"YBL033C","S000000129","852247","RIB1","YBL033C"
"YLR126C","S000004116","850817",NA,"YLR126C"
"YNL318C","S000005262","855398","HXT14","YNL318C"
"YGR028W","S000003260","852915","MSP1","YGR028W"
"YGR146C","S000003378","853049","ECL1","YGR146C"
"YMR170C","S000004780","855206","ALD2","YMR170C"
"YAR070C","S000000093",NA,NA,NA
"YDR461C-A","S000087209","3799972",NA,"YDR461C-A"
"YNL034W","S000004979","855697",NA,"YNL034W"
"YOR389W","S000005916","854571",NA,"YOR389W"
"YEL070W","S000000796","856639","DSF1","YEL070W"
"YEL070W","S000000796","856639","DSF1","YNR073C"
"YPL052W","S000005973","856055","OAZ1","YPL052W"
"YPL283W-A","S000028723",NA,NA,NA
"YDL194W","S000002353","851333","SNF3","YDL194W"
"YDR213W","S000002621","851799","UPC2","YDR213W"
"YNL319W","S000005263",NA,NA,NA
"YDR316W","S000002724","851911","OMS1","YDR316W"
"YDR275W","S000002683","851868","BSC2","YDR275W"
"YER035W","S000000837","856757","EDC2","YER035W"
"YMR251W","S000004863","855292","GTO3","YMR251W"
"YLR289W","S000004280","850996","GUF1","YLR289W"
"YNL338W","S000005282",NA,NA,NA
"YDR068W","S000002475","851640","DOS2","YDR068W"
"YGL149W","S000003117","852727",NA,NA
"YEL060C","S000000786","856649","PRB1","YEL060C"
"YLR031W","S000004021","850718",NA,"YLR031W"
"YNR007C","S000005290","855741","ATG3","YNR007C"
"YGR032W","S000003264","852920","GSC2","YGR032W"
"YDR149C","S000002556",NA,NA,NA
"YBR066C","S000000270","852358","NRG2","YBR066C"
"YER142C","S000000944","856885","MAG1","YER142C"
"YER037W","S000000839","856759","PHM8","YER037W"
"YER145C","S000000947","856888","FTR1","YER145C"
"YBR209W","S000000413","852508",NA,NA
"YFL060C","S000001834","850484","SNO3","YFL060C"
"YKR023W","S000001731","853893",NA,"YKR023W"
"YDR018C","S000002425","851581",NA,"YDR018C"
"YHL024W","S000001016","856361","RIM4","YHL024W"
"YMR044W","S000004647","855061","IOC4","YMR044W"
"YMR053C","S000004657","855075","STB2","YMR053C"
"YIR015W","S000001454","854832","RPR2","YIR015W"
"YGL121C","S000003089","852756","GPG1","YGL121C"
"YIL046W-A","S000028836","1466492",NA,"YIL046W-A"
"YER053C-A","S000007523","856780",NA,"YER053C-A"
"YLR154W-A","S000028675",NA,NA,NA
"YNL332W","S000005276","855384","THI12","YNL332W"
"YMR158W-B","S000004768",NA,NA,NA
"YGL141W","S000003109","852736","HUL5","YGL141W"
"YBL029W","S000000125","852252",NA,"YBL029W"
"YOR220W","S000005746","854395","RCN2","YOR220W"
"YDR218C","S000002626","851804","SPR28","YDR218C"
"YPR185W","S000006389","856315","ATG13","YPR185W"
"YIR014W","S000001453","854831",NA,"YIR014W"
"YER158W-A","S000028624",NA,NA,NA
"YDL162C","S000002321",NA,NA,NA
"YJL163C","S000003699","853276",NA,"YJL163C"
"YML098W","S000004564","854875","TAF13","YML098W"
"YNL333W","S000005277","855383","SNZ2","YNL333W"
"YCR010C","S000000603","850368","ADY2","YCR010C"
"YER159C","S000000961","856904","BUR6","YER159C"
"YGR150C","S000003382","853053","CCM1","YGR150C"
"YNR025C","S000005308",NA,NA,NA
"YPL056C","S000005977","856051","LCL1","YPL056C"
"YJR010W","S000003771","853466","MET3","YJR010W"
"YLR109W","S000004099","850799","AHP1","YLR109W"
"YOL082W","S000005442","854072","ATG19","YOL082W"
"YMR159C","S000004769","855194","ATG16","YMR159C"
"YNL227C","S000005171","855495","JJJ1","YNL227C"
"YOR185C","S000005711","854357","GSP2","YOR185C"
"YMR250W","S000004862","855291","GAD1","YMR250W"
"YLR154W-C","S000028422","850849","TAR1","YLR154W-C"
"YDR421W","S000002829","852031","ARO80","YDR421W"
"YHL049C","S000001041","856336",NA,"YHL049C"
"YDL059C","S000002217","851500","RAD59","YDL059C"
