"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0022624","CC","GO:0022624","proteasome accessory complex",0.0531914893617021,0.00363636363636364,1.70010996792178e-05,0.000422598763454843,0.000294003979415045,"YDL007W/YFR004W/YIL075C/YHR027C/YOR117W",5
"GO:0031301","CC","GO:0031301","integral component of organelle membrane",0.127659574468085,0.0353246753246753,0.000101804897457634,0.00221425651970355,0.00154046884310894,"YPR037C/YMR110C/YGL055W/YJR075W/YML048W/YGL012W/YDR233C/YJR077C/YLL023C/YOL092W/YLR372W/YCR034W",12
"GO:0031300","CC","GO:0031300","intrinsic component of organelle membrane",0.127659574468085,0.0367099567099567,0.000146971823873129,0.00284145526154716,0.00197681400531109,"YPR037C/YMR110C/YGL055W/YJR075W/YML048W/YGL012W/YDR233C/YJR077C/YLL023C/YOL092W/YLR372W/YCR034W",12
"GO:0030176","CC","GO:0030176","integral component of endoplasmic reticulum membrane",0.074468085106383,0.0136796536796537,0.000269863084384143,0.00461669935431981,0.00321185980488069,"YPR037C/YGL055W/YML048W/YGL012W/YDR233C/YLR372W/YCR034W",7
"GO:0031227","CC","GO:0031227","intrinsic component of endoplasmic reticulum membrane",0.074468085106383,0.0138528138528139,0.000291860304008724,0.00461669935431981,0.00321185980488069,"YPR037C/YGL055W/YML048W/YGL012W/YDR233C/YLR372W/YCR034W",7
"GO:0031410","CC","GO:0031410","cytoplasmic vesicle",0.148936170212766,0.0531601731601732,0.000391694535435947,0.00524268070506575,0.00364735802227805,"YBR302C/YML132W/YMR110C/YER039C/YGR284C/YNL297C/YJL024C/YJL207C/YOR326W/YFL005W/YGL137W/YDR238C/YDR170C/YPL218W",14
"GO:0097708","CC","GO:0097708","intracellular vesicle",0.148936170212766,0.0531601731601732,0.000391694535435947,0.00524268070506575,0.00364735802227805,"YBR302C/YML132W/YMR110C/YER039C/YGR284C/YNL297C/YJL024C/YJL207C/YOR326W/YFL005W/YGL137W/YDR238C/YDR170C/YPL218W",14
"GO:0031982","CC","GO:0031982","vesicle",0.148936170212766,0.0541991341991342,0.000476776570209892,0.00592565165832295,0.00412250417850659,"YBR302C/YML132W/YMR110C/YER039C/YGR284C/YNL297C/YJL024C/YJL207C/YOR326W/YFL005W/YGL137W/YDR238C/YDR170C/YPL218W",14
"GO:0000502","CC","GO:0000502","proteasome complex",0.0531914893617021,0.00727272727272727,0.000542558520992114,0.00592712329549442,0.00412352800352001,"YDL007W/YFR004W/YIL075C/YHR027C/YOR117W",5
"GO:0032541","CC","GO:0032541","cortical endoplasmic reticulum",0.0425531914893617,0.00415584415584416,0.000545022831769601,0.00592712329549442,0.00412352800352001,"YDL204W/YKR003W/YML072C/YDR233C",4
"GO:1905369","CC","GO:1905369","endopeptidase complex",0.0531914893617021,0.00813852813852814,0.000917645831594121,0.00939237498219865,0.00653432016305412,"YDL007W/YFR004W/YIL075C/YHR027C/YOR117W",5
"GO:0071782","CC","GO:0071782","endoplasmic reticulum tubular network",0.0425531914893617,0.00484848484848485,0.000999190491490303,0.00950270413623957,0.0066110766828043,"YDL204W/YKR003W/YML072C/YDR233C",4
