"baseMean","log2FoldChange","lfcSE","pvalue","padj","orf_name","contrast"
1184.20281565341,-0.391082438069948,0.081708856684591,7.86452858926149e-07,3.89466741030904e-06,"YIL083C","KAN_vs_WT"
278.410543201549,-0.0499598097175881,0.136630124378396,0.667231722011859,0.758261687014751,"YIL079C","KAN_vs_WT"
11454.1786752945,0.368427713529923,0.0439845718730834,2.73803118566711e-17,3.08957483254116e-16,"YIL078W","KAN_vs_WT"
1214.96856416035,0.061732185930365,0.0784786349670181,0.416690602224846,0.537032003968755,"YIL077C","KAN_vs_WT"
2686.55116367302,0.133469454115005,0.0604390823761312,0.0255786957427254,0.0550142200130299,"YIL076W","KAN_vs_WT"
7761.3177371343,0.0816979278813524,0.042959456159894,0.0555465164145805,0.106686455083202,"YIL075C","KAN_vs_WT"
1548.32524487411,0.194386814039857,0.067079819373104,0.0030310833875504,0.00825120138470669,"YIL074C","KAN_vs_WT"
493.425478482775,-0.0119648935804153,0.110488930427797,0.905917051719558,0.938902714419532,"YIL073C","KAN_vs_WT"
495.381688326647,0.953766505762986,0.118246486174159,8.51782650423025e-17,9.21646330140941e-16,"YIL072W","KAN_vs_WT"
74.1794924276663,0.177652500603675,0.215877537486978,0.2900940396175,0.40612642721787,"YIL071W-A","KAN_vs_WT"
379.366141309864,0.258412129776524,0.136694052808379,0.0371133164673418,0.0759698888102146,"YIL071C","KAN_vs_WT"
884.389311438891,0.266520359639212,0.0740779933236781,0.000217243572549427,0.000746472069026551,"YIL070C","KAN_vs_WT"
6663.75833287872,-0.250236185142045,0.0516160239319581,8.44099679071515e-07,4.1605818034734e-06,"YIL069C","KAN_vs_WT"
1.48890248520044,0.0149273519173233,0.326650230879147,0.792014999216765,0.856683118803618,"YIL068W-A","KAN_vs_WT"
1054.69213092496,0.0569096719528258,0.0713551810515508,0.414377490072494,0.534705199054133,"YIL068C","KAN_vs_WT"
830.641645268509,0.249798923566158,0.0896933267307901,0.0037524359046341,0.00997125419738557,"YIL067C","KAN_vs_WT"
920.507149024444,-1.02453914948592,0.0814865513347544,3.45185895414874e-37,8.58751839813617e-36,"YIL066C","KAN_vs_WT"
1111.00590527111,0.000182760871237466,0.0866138532126261,0.997865529759686,0.998621447911435,"YIL065C","KAN_vs_WT"
