"","column","row","cor","num_obs","gene1","gene2"
"1","YDR060W","YDL063C",0.921692467707927,3909,"SYO1","MAK21"
"2","YDR141C","YBR097W",0.940534396413939,3916,"VPS15","DOP1"
"3","YDR141C","YBR136W",0.90727427033347,3916,"MEC1","DOP1"
"4","YDR170C","YDL058W",0.922065142696948,3916,"USO1","SEC7"
"5","YDR170C","YBR097W",0.932836493049679,3916,"VPS15","SEC7"
"6","YDR170C","YBL034C",0.920144211218755,3916,"STU1","SEC7"
"7","YDR170C","YDR141C",0.935037849878044,3916,"DOP1","SEC7"
"8","YDR170C","YBR136W",0.934957193847384,3916,"MEC1","SEC7"
"9","YDR180W","YBL034C",0.91055086054536,3916,"STU1","SCC2"
"10","YDR238C","YBR097W",0.931405739518395,3916,"VPS15","SEC26"
"11","YDR238C","YBR017C",0.912447932540139,3916,"KAP104","SEC26"
"12","YDR238C","YBL037W",0.919485800606574,3916,"APL3","SEC26"
"13","YDR395W","YBR017C",0.900987646002024,3916,"KAP104","SXM1"
"14","YDR457W","YBR136W",0.96076313924945,3916,"MEC1","TOM1"
"15","YDR457W","YDR141C",0.911508360760159,3916,"DOP1","TOM1"
"16","YDR457W","YBR097W",0.918419292053579,3916,"VPS15","TOM1"
"17","YDR457W","YBL034C",0.916261022765635,3916,"STU1","TOM1"
"18","YDR457W","YDR180W",0.914504859611146,3916,"SCC2","TOM1"
"19","YDR496C","YDR060W",0.938639637199174,3914,"MAK21","PUF6"
"20","YDR496C","YDL063C",0.949954433957366,3909,"SYO1","PUF6"
"21","YEL055C","YDR395W",0.92498547590681,3916,"SXM1","POL5"
"22","YFL007W","YDR141C",0.917455904483565,3916,"DOP1","BLM10"
"23","YFL007W","YBL034C",0.901883331722802,3916,"STU1","BLM10"
"24","YFL007W","YBR097W",0.927320951199282,3916,"VPS15","BLM10"
"25","YFL007W","YBR136W",0.959988065196446,3916,"MEC1","BLM10"
"26","YGL016W","YDR395W",0.92163360642375,3916,"SXM1","KAP122"
"27","YGL083W","YGL014W",0.90067538095004,3913,"PUF4","SCY1"
"28","YGL195W","YGL016W",0.923815652996947,3916,"KAP122","GCN1"
"29","YGL206C","YBR097W",0.927902679655984,3916,"VPS15","CHC1"
"30","YGL206C","YBR136W",0.938615571907747,3916,"MEC1","CHC1"
"31","YGL238W","YDR238C",0.917349088692414,3916,"SEC26","CSE1"
"32","YGL238W","YDR180W",0.919351868906157,3916,"SCC2","CSE1"
"33","YGR162W","YDR060W",0.915729029014637,3916,"MAK21","TIF4631"
"34","YGR162W","YEL055C",0.929767165219896,3916,"POL5","TIF4631"
"35","YGR218W","YBR097W",0.923290274810893,3916,"VPS15","CRM1"
"36","YGR218W","YBL037W",0.908446881600242,3916,"APL3","CRM1"
"37","YGR218W","YBR136W",0.925236646861299,3916,"MEC1","CRM1"
"38","YGR245C","YDR060W",0.935114158307976,3916,"MAK21","SDA1"
"39","YGR245C","YDR496C",0.900088091826869,3914,"PUF6","SDA1"
"40","YGR245C","YDL063C",0.904728209501199,3909,"SYO1","SDA1"
"41","YGR261C","YDR238C",0.906364528793,3916,"SEC26","APL6"
"42","YHL030W","YBR136W",0.905266061625556,3916,"MEC1","ECM29"
"43","YHR027C","YBL037W",0.919840860511441,3916,"APL3","RPN1"
"44","YHR077C","YGR278W",0.920272434683576,3916,"CWC22","NMD2"
"45","YHR085W","YGR187C",0.905123664049114,3909,"HGH1","IPI1"
"46","YHR085W","YDR496C",0.931074529358226,3911,"PUF6","IPI1"
"47","YHR085W","YDL063C",0.912296560202171,3906,"SYO1","IPI1"
"48","YHR099W","YDR180W",0.901649641983945,3916,"SCC2","TRA1"
"49","YHR099W","YDR457W",0.949954433957366,3916,"TOM1","TRA1"
"50","YHR099W","YBR136W",0.938614517215122,3916,"MEC1","TRA1"
