"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","set","DE"
"sce03010","Ribosome",0.319444444444444,0.0829715388326097,3.6430329969869e-09,1.89437715843319e-07,1.84069035637233e-07,"YGL030W/YDR447C/YBL072C/YER102W/YGR214W/YGL031C/YER074W/YIL069C/YNL302C/YJR094W-A/YPR043W/YGL076C/YLR325C/YBR048W/YDR025W/YIL148W/YKR094C/YGR148C/YOR096W/YMR230W/YLR344W/YOL121C/YLR406C",23,"corrected_B2_WT_vs_B2_ATG","Up"
"sce00010","Glycolysis / Gluconeogenesis",0.125,0.0265315967197299,7.81873331567069e-05,0.00203287066207438,0.00197525894290628,"YGL256W/YGR087C/YJL052W/YDL021W/YGR254W/YGR192C/YBR196C/YAL054C/YMR169C",9,"corrected_B2_WT_vs_B2_ATG","Up"
"sce01110","Biosynthesis of secondary metabolites",0.405660377358491,0.168837433671008,2.2521994867007e-09,1.6215836304245e-07,1.39873441805622e-07,"YAL012W/YAR015W/YBR029C/YBR249C/YCR053W/YDL171C/YDL205C/YDR044W/YDR158W/YDR178W/YDR399W/YDR408C/YER026C/YER052C/YER055C/YER086W/YGL148W/YGL202W/YGL234W/YGL253W/YGR124W/YHR025W/YHR033W/YHR123W/YHR163W/YIR034C/YJL097W/YJR016C/YKL141W/YLR058C/YLR134W/YLR180W/YLR359W/YMR120C/YMR189W/YMR274C/YMR300C/YNL169C/YOL143C/YOR136W/YOR202W/YPL061W/YPL111W",43,"corrected_B1_WT_vs_B1_ATG_and_corrected_Co_WT_vs_Co_ATG","Down"
"sce01230","Biosynthesis of amino acids",0.19811320754717,0.0602990834539315,5.01902147295985e-07,1.80684773026554e-05,1.55853824686648e-05,"YAL012W/YBR249C/YCR053W/YDL171C/YDR158W/YER052C/YER055C/YER086W/YGL148W/YGL202W/YGR124W/YHR025W/YHR033W/YIR034C/YJR016C/YLR058C/YLR089C/YLR180W/YOR136W/YOR202W/YPL111W",21,"corrected_B1_WT_vs_B1_ATG_and_corrected_Co_WT_vs_Co_ATG","Down"
"sce04011","MAPK signaling pathway - yeast",0.122641509433962,0.0549927641099855,0.00435117216676422,0.0486920573932067,0.0420004588625613,"YBL016W/YBR083W/YCL027W/YGL089C/YGR014W/YGR023W/YHR084W/YJL157C/YLR229C/YLR452C/YMR199W/YOL105C/YPR119W",13,"corrected_B1_WT_vs_B1_ATG_and_corrected_Co_WT_vs_Co_ATG","Down"
"sce00230","Purine metabolism",0.0849056603773585,0.0270139893873613,0.00171012917133991,0.0307823250841183,0.0265520055550143,"YAR015W/YDR399W/YDR408C/YGL234W/YJR105W/YLR359W/YMR120C/YMR300C/YNL220W",9,"corrected_B1_WT_vs_B1_ATG_and_corrected_Co_WT_vs_Co_ATG","Down"
"sce00260","Glycine, serine and threonine metabolism",0.0849056603773585,0.0144717800289436,9.90467662117786e-06,0.000237712238908269,0.000205044182684033,"YAL012W/YCR053W/YDR158W/YER026C/YER052C/YER086W/YHR025W/YLR058C/YMR189W",9,"corrected_B1_WT_vs_B1_ATG_and_corrected_Co_WT_vs_Co_ATG","Down"
"sce00250","Alanine, aspartate and glutamate metabolism",0.0566037735849057,0.0154365653642065,0.00473395002433954,0.0486920573932067,0.0420004588625613,"YDL171C/YGR124W/YLR089C/YLR359W/YMR300C/YNL220W",6,"corrected_B1_WT_vs_B1_ATG_and_corrected_Co_WT_vs_Co_ATG","Down"
"sce00300","Lysine biosynthesis",0.0377358490566038,0.00578871201157742,0.0023264995605657,0.0335015936721461,0.0288975734891319,"YDR158W/YER052C/YGL202W/YIR034C",4,"corrected_B1_WT_vs_B1_ATG_and_corrected_Co_WT_vs_Co_ATG","Down"
"sce00010","Glycolysis / Gluconeogenesis",0.179487179487179,0.0265315967197299,5.0021588280103e-05,0.00230099306088474,0.00189555492429864,"YAL054C/YDL021W/YGL256W/YGR087C/YGR254W/YJL052W/YMR169C",7,"corrected_B1_WT_vs_B1_ATG_and_corrected_B2_WT_vs_B2_ATG","Up"
