"","target_orf","target","source_orf","source","interactor","min_peps","min_prob","min_crap_expt","pma_int"
"1566","YMR186W","HSC82","YGR191W","HIP1","Predicted",1,80,13,"PMA1 Interactor"
"1576","YMR186W","HSC82","YDR457W","TOM1","Predicted",1,80,13,"Not A PMA1 Interactor"
"1578","YMR186W","HSC82","YDR190C","RVB1","Predicted",1,80,13,"Not A PMA1 Interactor"
"1581","YMR186W","HSC82","YJR065C","ARP3","Predicted",1,80,13,"Not A PMA1 Interactor"
"1589","YMR186W","HSC82","YML120C","NDI1","Predicted",1,80,13,"Not A PMA1 Interactor"
"1590","YMR186W","HSC82","YGR175C","ERG1","Predicted",1,80,13,"Not A PMA1 Interactor"
"1596","YMR186W","HSC82","YJR045C","SSC1","Predicted",1,80,13,"Not A PMA1 Interactor"
"1606","YMR186W","HSC82","YBR079C","RPG1","Predicted",1,80,13,"Not A PMA1 Interactor"
"1608","YMR186W","HSC82","YBR025C","OLA1","Predicted",1,80,13,"Not A PMA1 Interactor"
"1609","YMR186W","HSC82","YER086W","ILV1","Predicted",1,80,13,"Not A PMA1 Interactor"
"1614","YMR186W","HSC82","YDL100C","GET3","Predicted",1,80,13,"Not A PMA1 Interactor"
"1620","YMR186W","HSC82","YCR012W","PGK1","Predicted",1,80,13,"Not A PMA1 Interactor"
"1623","YMR186W","HSC82","YHR064C","SSZ1","Predicted",1,80,13,"Not A PMA1 Interactor"
"1626","YMR186W","HSC82","YBR039W","ATP3","Predicted",1,80,13,"Not A PMA1 Interactor"
"1627","YMR186W","HSC82","YHR108W","GGA2","Predicted",1,80,13,"Not A PMA1 Interactor"
"1642","YMR186W","HSC82","YJR064W","CCT5","Predicted",1,80,13,"Not A PMA1 Interactor"
"1644","YMR186W","HSC82","YBR069C","TAT1","Predicted",1,80,13,"Not A PMA1 Interactor"
"1645","YMR186W","HSC82","YDR508C","GNP1","Predicted",1,80,13,"Not A PMA1 Interactor"
"1671","YMR235C","RNA1","YJR109C","CPA2","Predicted",1,80,13,"Not A PMA1 Interactor"
"1679","YMR235C","RNA1","YJL130C","URA2","Predicted",1,80,13,"Not A PMA1 Interactor"
"1681","YMR235C","RNA1","YDR002W","YRB1","Predicted",1,80,13,"Not A PMA1 Interactor"
"1684","YMR241W","YHM2","YJR045C","SSC1","Predicted",1,80,13,"Not A PMA1 Interactor"
"1714","YMR296C","LCB1","YDR062W","LCB2","Co-complex",1,80,13,"Not A PMA1 Interactor"
"1715","YMR296C","LCB1","YDR062W","LCB2","Predicted",1,80,13,"Not A PMA1 Interactor"
"1720","YMR296C","LCB1","YDR062W","LCB2","Literature",1,80,13,"Not A PMA1 Interactor"
"1726","YMR296C","LCB1","YFL037W","TUB2","Predicted",1,80,13,"Not A PMA1 Interactor"
"1749","YNL297C","MON2","YDR141C","DOP1","Co-complex",1,80,13,"Not A PMA1 Interactor"
"1767","YNR013C","PHO91","YJR045C","SSC1","Predicted",1,80,13,"Not A PMA1 Interactor"
